time_h,glucose_millimolar,digitization_uncertainty_millimolar,bar_center_x_pixel,bar_top_y_pixel
1,0.412,0.100,292.0,793.0
24,2.427,0.100,370.0,727.0
48,4.015,0.100,449.5,675.0
72,5.053,0.100,528.0,641.0
96,5.481,0.100,607.0,627.0
120,5.603,0.100,684.5,623.0
144,6.183,0.100,763.0,604.0
168,6.550,0.100,841.5,592.0
188,7.374,0.100,920.5,565.0
212,8.015,0.100,999.0,544.0
236,9.328,0.100,1077.5,501.0
260,10.427,0.100,1155.0,465.0
284,11.527,0.100,1233.5,429.0
308,12.809,0.100,1313.0,387.0
332,15.191,0.100,1391.5,309.0
356,15.710,0.100,1470.0,292.0
380,15.771,0.100,1548.5,290.0
