entry_id,organism,enzyme_name,ec_number,enzyme_type,kinetic_law_type,Km_cellobiose_value,Km_cellobiose_units,kcat_cellobiose_value,kcat_cellobiose_units,ph,temperature,temperature_units,buffer,pubmed_id,title,journal,year,source_field_Km,source_field_kcat
35622,Oryza sativa,beta-glucosidase,3.2.1.21,Wildtype,Michaelis-Menten,15.3,mM,0.13,s^(-1),5.0,30,°C,100 mM sodium acetate,19587102,"Structural and enzymatic characterization of Os3BGlu6, a rice beta-glucosidase hydrolyzing hydrophobic glycosides and (1->3)- and (1->2)-linked disaccharides",Plant Physiol,2009,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
38521,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Wildtype,Michaelis-Menten,6.8,mM,1.81,s^(-1),6.5,30,°C,50 mM MES,18023045,Role of subsite +1 residues in pH dependence and catalytic activity of the glycoside hydrolase family 1 beta-glucosidase BGL1A from the basidiomycete Phanerochaete chrysosporium,Biotechnol Bioeng,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
38523,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Mutant,Michaelis-Menten,13.3,mM,4.35,s^(-1),6.0,30,°C,50 mM MES,18023045,Role of subsite +1 residues in pH dependence and catalytic activity of the glycoside hydrolase family 1 beta-glucosidase BGL1A from the basidiomycete Phanerochaete chrysosporium,Biotechnol Bioeng,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
38524,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Mutant,Michaelis-Menten,9.22,mM,2.53,s^(-1),6.0,30,°C,50 mM MES,18023045,Role of subsite +1 residues in pH dependence and catalytic activity of the glycoside hydrolase family 1 beta-glucosidase BGL1A from the basidiomycete Phanerochaete chrysosporium,Biotechnol Bioeng,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
38525,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Mutant,Michaelis-Menten,114.0,mM,3.23,s^(-1),5.5,30,°C,50 mM sodium acetet,18023045,Role of subsite +1 residues in pH dependence and catalytic activity of the glycoside hydrolase family 1 beta-glucosidase BGL1A from the basidiomycete Phanerochaete chrysosporium,Biotechnol Bioeng,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
38526,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Mutant,Michaelis-Menten,21.0,mM,3.94,s^(-1),6.5,30,°C,50 mM MES,18023045,Role of subsite +1 residues in pH dependence and catalytic activity of the glycoside hydrolase family 1 beta-glucosidase BGL1A from the basidiomycete Phanerochaete chrysosporium,Biotechnol Bioeng,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
38527,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Mutant,Michaelis-Menten,46.5,mM,4.47,s^(-1),6.5,30,°C,50 mM MES,18023045,Role of subsite +1 residues in pH dependence and catalytic activity of the glycoside hydrolase family 1 beta-glucosidase BGL1A from the basidiomycete Phanerochaete chrysosporium,Biotechnol Bioeng,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
39780,Oryza sativa,beta-glucosidase,3.2.1.21,Wildtype,Michaelis-Menten,22.0,mM,1.16,s^(-1),5.0,30,°C,50 mM Sodium acetate,18308333,Structural insights into rice BGlu1 beta-glucosidase oligosaccharide hydrolysis and transglycosylation,J Mol Biol,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
39781,Oryza sativa,beta-glucosidase,3.2.1.21,Mutant,Michaelis-Menten,21.9,mM,1.12,s^(-1),5.0,30,°C,50 mM Sodium acetate,18308333,Structural insights into rice BGlu1 beta-glucosidase oligosaccharide hydrolysis and transglycosylation,J Mol Biol,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
39782,Oryza sativa,beta-glucosidase,3.2.1.21,Mutant,Michaelis-Menten,14.3,mM,2.09,s^(-1),5.0,30,°C,50 mM Sodium acetate,18308333,Structural insights into rice BGlu1 beta-glucosidase oligosaccharide hydrolysis and transglycosylation,J Mol Biol,2008,kineticlaw.parameter[].start_value,kineticlaw.parameter[].start_value
