entry_id,reason,organism,enzyme_name,ec_number,kinetic_law_type,available_parameter_types,notes
35633,missing_Km_cellobiose_value,Oryza sativa,beta-glucosidase,3.2.1.21,Michaelis-Menten,kcat;kcat/Km;Km;concentration,Km for Cellobiose has no explicit numeric value.
38522,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
38528,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
38529,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
38530,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
38531,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
38532,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
38533,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
38534,kinetic_law_not_plain_michaelis_menten,Phanerochaete chrysosporium,beta-glucosidase,3.2.1.21,Michaelis-Menten (pH-dependent),kcat;pH;pKa;Km;concentration,Kinetic law is not plain Michaelis-Menten.
39245,kinetic_law_not_plain_michaelis_menten,Hordeum vulgare,beta-glucosidase,3.2.1.21,,concentration;Km,Kinetic law is not plain Michaelis-Menten.
39470,ec_number_not_3_2_1_21,Hordeum vulgare,"glucan 1,4-beta-glucosidase",3.2.1.74,Michaelis-Menten,kcat;concentration;kcat/Km;Km,EC number does not include 3.2.1.21.
44897,enzyme_name_not_beta_glucosidase,Hordeum vulgare,beta-mannosidase,3.2.1.25,Michaelis-Menten,kcat;concentration;kcat/Km;Km,Enzyme name does not identify beta-glucosidase.
52392,ec_number_not_3_2_1_21,Thermotoga neapolitana,"glucan 1,4-beta-glucosidase",3.2.1.74,Michaelis-Menten,kcat;Vmax;kcat/Km;Km;concentration,EC number does not include 3.2.1.21.
60127,ec_number_not_3_2_1_21,Candida albicans,"glucan 1,3-beta-glucosidase",3.2.1.58,Michaelis-Menten,kcat;kcat/Km;Km;concentration,EC number does not include 3.2.1.21.
